source_layer,timestamp,label,mitre,label_confidence,stream_labels,envoy_method,envoy_path,envoy_response_code,envoy_response_time_ms,envoy_bytes_sent,envoy_source_ip,envoy_upstream,envoy_svid,envoy_trace_id,opa_decision_id,opa_allow,opa_dest_principal,opa_source_principal,opa_req_method,opa_req_path,opa_req_host,opa_has_bearer,opa_x_trace_id,opa_x_user_id,opa_content_length,opa_user_agent,app_event,app_level,app_service,app_trace_id,app_fraud_score,app_verdict,app_reason,app_amount,app_channel,app_country,app_status_code,app_duration_ms
envoy,1786730501.1590002,normal,,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/accounts?owner=testuser02"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/accounts?owner=testuser02,200,97,85,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.573,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,3,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.5779998,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.582,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.5870001,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.591,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.595,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.6529999,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,3,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.6579998,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
envoy,1786730555.663,brute_force,T1110.001,window,"{""cloud"": ""aws"", ""env"": ""ztlab"", ""filename"": ""/var/log/pods/financial_api-gateway-7887c8f44c-8fh69_808a8aa2-2a1b-4d08-8fd6-2c60097f9568/envoy/0.log"", ""job"": ""envoy-access"", ""method"": ""GET"", ""namespace"": ""financial"", ""path"": ""/health"", ""pod"": ""api-gateway-7887c8f44c-8fh69"", ""response_code"": ""200"", ""service_name"": ""api-gateway"", ""source_ip"": ""10.42.1.49"", ""stream"": ""stdout""}",GET,/health,200,2,249,10.42.1.49,127.0.0.1:8080,,,,,,,,,,,,,,,,,,,,,,,,,,
